Coin Name,Price,Change_24h,Timestamp
Bitcoin,104669.0,-2.73941,2025-06-17 23:20:18
Ethereum,2519.25,-4.66977,2025-06-17 23:20:18
Tether,1.0,-0.00482,2025-06-17 23:20:18
XRP,2.19,-4.28068,2025-06-17 23:20:18
BNB,647.73,-1.53142,2025-06-17 23:20:18
Solana,148.16,-5.58989,2025-06-17 23:20:18
USDC,0.999794,-0.00013,2025-06-17 23:20:18
TRON,0.275439,-1.84814,2025-06-17 23:20:18
Dogecoin,0.169711,-4.87995,2025-06-17 23:20:18
Lido Staked Ether,2515.45,-4.81163,2025-06-17 23:20:18
Bitcoin,104669.0,-2.73941,2025-06-17 23:21:18
Ethereum,2519.25,-4.66977,2025-06-17 23:21:18
Tether,1.0,-0.00482,2025-06-17 23:21:18
XRP,2.19,-4.28068,2025-06-17 23:21:18
BNB,647.73,-1.53142,2025-06-17 23:21:18
Solana,148.16,-5.58989,2025-06-17 23:21:18
USDC,0.999794,-0.00013,2025-06-17 23:21:18
TRON,0.275439,-1.84814,2025-06-17 23:21:18
Dogecoin,0.169711,-4.87995,2025-06-17 23:21:18
Lido Staked Ether,2515.45,-4.81163,2025-06-17 23:21:18
Bitcoin,104631.0,-2.76886,2025-06-17 23:22:19
Ethereum,2517.52,-4.73733,2025-06-17 23:22:19
Tether,1.0,-0.00629,2025-06-17 23:22:19
XRP,2.18,-4.36961,2025-06-17 23:22:19
BNB,647.63,-1.54701,2025-06-17 23:22:19
Solana,148.12,-5.70789,2025-06-17 23:22:19
USDC,0.999786,-0.00158,2025-06-17 23:22:19
TRON,0.275394,-1.77972,2025-06-17 23:22:19
Dogecoin,0.169323,-5.08819,2025-06-17 23:22:19
Lido Staked Ether,2514.66,-4.81106,2025-06-17 23:22:19
